cnpj,Estabelecimento,mes,bandeira,modalidade,qtd_vendas,valor_bruto,valor_taxa,valor_liquido,MDR_pct
07843328000119,Matriz_Luminis,2025-12,Elo,Débito,4,2798.0,-50.36,2747.64,1.80%
07843328000119,Matriz_Luminis,2025-12,Mastercard,Crédito,11,22366.0,-624.64,21741.36,2.79%
07843328000119,Matriz_Luminis,2025-12,Mastercard,Débito,4,5178.0,-69.39,5108.61,1.34%
07843328000119,Matriz_Luminis,2025-12,Visa,Crédito,9,31280.0,-789.73,30490.27,2.52%
07843328000119,Matriz_Luminis,2025-12,Visa,Débito,1,500.0,-6.65,493.35,1.33%
07843328000119,Matriz_Luminis,2026-01,Elo,Crédito,1,2000.0,-61.2,1938.8,3.06%
07843328000119,Matriz_Luminis,2026-01,Elo,Débito,1,700.0,-12.6,687.4,1.80%
07843328000119,Matriz_Luminis,2026-01,Mastercard,Crédito,17,27996.0,-755.25,27240.75,2.70%
07843328000119,Matriz_Luminis,2026-01,Mastercard,Débito,2,250.0,-3.35,246.65,1.34%
07843328000119,Matriz_Luminis,2026-01,Visa,Crédito,5,8786.0,-215.6,8570.4,2.45%
07843328000119,Matriz_Luminis,2026-01,Visa,Débito,1,500.0,-6.65,493.35,1.33%
07843328000119,Matriz_Luminis,2026-02,Amex,Crédito,1,1890.0,-67.28,1822.72,3.56%
07843328000119,Matriz_Luminis,2026-02,Elo,Crédito,2,2300.0,-59.6,2240.4,2.59%
07843328000119,Matriz_Luminis,2026-02,Mastercard,Crédito,11,13420.0,-370.1,13049.9,2.76%
07843328000119,Matriz_Luminis,2026-02,Mastercard,Débito,1,50.0,-0.67,49.33,1.34%
07843328000119,Matriz_Luminis,2026-02,Visa,Crédito,12,27462.0,-708.36,26753.64,2.58%
07843328000119,Matriz_Luminis,2026-02,Visa,Débito,2,780.0,-10.37,769.63,1.33%
07843328000119,Matriz_Luminis,2026-03,Amex,Crédito,1,3100.0,-110.36,2989.64,3.56%
07843328000119,Matriz_Luminis,2026-03,Elo,Crédito,2,560.0,-14.0,546.0,2.50%
07843328000119,Matriz_Luminis,2026-03,Mastercard,Crédito,18,27610.0,-756.03,26853.97,2.74%
07843328000119,Matriz_Luminis,2026-03,Mastercard,Débito,1,500.0,-6.7,493.3,1.34%
07843328000119,Matriz_Luminis,2026-03,Visa,Crédito,13,19925.0,-491.2,19433.8,2.47%
07843328000119,Matriz_Luminis,2026-03,Visa,Débito,5,4750.0,-63.18,4686.82,1.33%
07843328000119,Matriz_Luminis,2026-04,Mastercard,Crédito,11,15980.0,-447.12,15532.88,2.80%
07843328000119,Matriz_Luminis,2026-04,Mastercard,Débito,2,750.0,-10.05,739.95,1.34%
07843328000119,Matriz_Luminis,2026-04,Visa,Crédito,1,500.0,-12.8,487.2,2.56%
07843328000119,Matriz_Luminis,2026-04,Visa,Débito,2,400.0,-5.32,394.68,1.33%
07843328000119,Matriz_Luminis,2026-05,Elo,Crédito,1,350.0,-9.8,340.2,2.80%
07843328000119,Matriz_Luminis,2026-05,Elo,Débito,2,2648.0,-47.66,2600.34,1.80%
07843328000119,Matriz_Luminis,2026-05,Mastercard,Crédito,13,22410.0,-606.92,21803.08,2.71%
07843328000119,Matriz_Luminis,2026-05,Mastercard,Débito,1,1000.0,-13.4,986.6,1.34%
07843328000119,Matriz_Luminis,2026-05,Visa,Crédito,13,28310.0,-775.67,27534.33,2.74%
07843328000119,Matriz_Luminis,2026-05,Visa,Débito,1,1400.0,-18.62,1381.38,1.33%
07843328000119,Matriz_Luminis,2026-06,Mastercard,Crédito,3,5690.0,-130.33,4159.67,2.29%
07843328000119,Matriz_Luminis,2026-06,Visa,Crédito,3,4730.0,-119.58,4610.42,2.53%
07843328000208,Filial_Proview,2025-01,Mastercard,Crédito,16,44239.34,-1139.95,43099.39,2.58%
07843328000208,Filial_Proview,2025-01,Mastercard,Débito,3,5020.0,-65.26,4954.74,1.30%
07843328000208,Filial_Proview,2025-01,Visa,Crédito,21,49515.0,-1183.72,48331.28,2.39%
07843328000208,Filial_Proview,2025-01,Visa,Débito,3,5895.0,-73.7,5821.3,1.25%
07843328000208,Filial_Proview,2025-02,Elo,Crédito,1,918.0,-22.03,895.97,2.40%
07843328000208,Filial_Proview,2025-02,Elo,Débito,1,595.0,-7.44,587.56,1.25%
07843328000208,Filial_Proview,2025-02,Mastercard,Crédito,18,38845.0,-1004.55,37840.45,2.59%
07843328000208,Filial_Proview,2025-02,Visa,Crédito,11,28368.0,-675.56,27692.44,2.38%
07843328000208,Filial_Proview,2025-02,Visa,Débito,3,1690.0,-21.13,1668.87,1.25%
07843328000208,Filial_Proview,2025-03,Mastercard,Crédito,7,22572.0,-554.89,22017.11,2.46%
07843328000208,Filial_Proview,2025-03,Mastercard,Débito,2,3400.0,-44.2,3355.8,1.30%
07843328000208,Filial_Proview,2025-03,Visa,Crédito,5,10540.0,-258.36,10281.64,2.45%
07843328000208,Filial_Proview,2025-04,Amex,Crédito,1,890.0,-28.48,861.52,3.20%
07843328000208,Filial_Proview,2025-04,Elo,Crédito,1,850.0,-20.4,829.6,2.40%
07843328000208,Filial_Proview,2025-04,Mastercard,Crédito,11,32071.0,-827.5,31243.5,2.58%
07843328000208,Filial_Proview,2025-04,Mastercard,Débito,3,1640.0,-21.32,1618.68,1.30%
07843328000208,Filial_Proview,2025-04,Visa,Crédito,10,44725.0,-1060.27,43664.73,2.37%
07843328000208,Filial_Proview,2025-04,Visa,Débito,4,8550.0,-106.88,8443.12,1.25%
07843328000208,Filial_Proview,2025-05,Elo,Débito,2,5800.0,-72.5,5727.5,1.25%
07843328000208,Filial_Proview,2025-05,Mastercard,Crédito,14,43704.0,-1161.27,42542.73,2.66%
07843328000208,Filial_Proview,2025-05,Visa,Crédito,16,36290.0,-860.88,35429.12,2.37%
07843328000208,Filial_Proview,2025-05,Visa,Débito,2,2900.0,-36.25,2863.75,1.25%
07843328000208,Filial_Proview,2025-06,Elo,Crédito,1,2021.0,-48.5,1972.5,2.40%
07843328000208,Filial_Proview,2025-06,Mastercard,Crédito,9,16412.0,-412.06,15999.94,2.51%
07843328000208,Filial_Proview,2025-06,Visa,Crédito,12,19165.0,-455.71,18709.29,2.38%
07843328000208,Filial_Proview,2025-07,Amex,Crédito,1,3121.0,-98.31,3022.69,3.15%
07843328000208,Filial_Proview,2025-07,Elo,Crédito,1,4550.0,-109.2,4440.8,2.40%
07843328000208,Filial_Proview,2025-07,Mastercard,Crédito,19,51595.0,-1333.07,50261.93,2.58%
07843328000208,Filial_Proview,2025-07,Mastercard,Débito,2,2545.0,-33.09,2511.91,1.30%
07843328000208,Filial_Proview,2025-07,Visa,Crédito,21,65699.0,-1539.48,64159.52,2.34%
07843328000208,Filial_Proview,2025-07,Visa,Débito,2,3800.0,-47.5,3752.5,1.25%
07843328000208,Filial_Proview,2025-08,Elo,Crédito,1,890.0,-20.03,869.97,2.25%
07843328000208,Filial_Proview,2025-08,Mastercard,Crédito,7,25181.0,-651.87,24529.13,2.59%
07843328000208,Filial_Proview,2025-08,Mastercard,Débito,2,3900.0,-50.7,3849.3,1.30%
07843328000208,Filial_Proview,2025-08,Visa,Crédito,14,42970.0,-1012.45,41957.55,2.36%
07843328000208,Filial_Proview,2025-08,Visa,Débito,2,1760.0,-22.0,1738.0,1.25%
07843328000208,Filial_Proview,2025-09,Amex,Crédito,1,1150.0,-36.8,1113.2,3.20%
07843328000208,Filial_Proview,2025-09,Mastercard,Crédito,21,69512.0,-1771.94,67740.06,2.55%
07843328000208,Filial_Proview,2025-09,Mastercard,Débito,3,2960.0,-38.48,2921.52,1.30%
07843328000208,Filial_Proview,2025-09,Visa,Crédito,9,25990.0,-617.86,25372.14,2.38%
07843328000208,Filial_Proview,2025-09,Visa,Débito,4,8324.0,-104.06,8219.94,1.25%
07843328000208,Filial_Proview,2025-10,Elo,Crédito,3,5674.0,-127.67,5546.33,2.25%
07843328000208,Filial_Proview,2025-10,Elo,Débito,1,2580.0,-32.25,2547.75,1.25%
07843328000208,Filial_Proview,2025-10,Mastercard,Crédito,23,38171.0,-980.06,37190.94,2.57%
07843328000208,Filial_Proview,2025-10,Mastercard,Débito,1,558.0,-7.25,550.75,1.30%
07843328000208,Filial_Proview,2025-10,Visa,Crédito,14,32891.0,-776.15,32114.85,2.36%
07843328000208,Filial_Proview,2025-10,Visa,Débito,4,1710.0,-21.39,1688.61,1.25%
07843328000208,Filial_Proview,2025-11,Elo,Crédito,1,1450.0,-27.55,1422.45,1.90%
07843328000208,Filial_Proview,2025-11,Mastercard,Crédito,13,35050.0,-953.94,34096.06,2.72%
07843328000208,Filial_Proview,2025-11,Mastercard,Débito,2,4830.0,-62.79,4767.21,1.30%
07843328000208,Filial_Proview,2025-11,Visa,Crédito,9,32070.0,-758.03,31311.97,2.36%
07843328000208,Filial_Proview,2025-11,Visa,Débito,6,22080.0,-276.02,21803.98,1.25%
07843328000208,Filial_Proview,2025-12,Elo,Crédito,4,9580.0,-223.01,9356.99,2.33%
07843328000208,Filial_Proview,2025-12,Mastercard,Crédito,14,32040.0,-821.78,31218.22,2.56%
07843328000208,Filial_Proview,2025-12,Visa,Crédito,15,39769.0,-931.69,38837.31,2.34%
07843328000208,Filial_Proview,2025-12,Visa,Débito,4,2900.0,-36.25,2863.75,1.25%
07843328000208,Filial_Proview,2026-01,Elo,Crédito,1,1250.0,-23.75,1226.25,1.90%
07843328000208,Filial_Proview,2026-01,Mastercard,Crédito,15,42775.0,-1107.58,41667.42,2.59%
07843328000208,Filial_Proview,2026-01,Mastercard,Débito,3,4720.0,-61.36,4658.64,1.30%
07843328000208,Filial_Proview,2026-01,Visa,Crédito,21,56129.0,-1326.88,54802.12,2.36%
07843328000208,Filial_Proview,2026-01,Visa,Débito,3,4850.0,-60.63,4789.37,1.25%
07843328000208,Filial_Proview,2026-02,Amex,Crédito,1,3000.0,-84.0,2916.0,2.80%
07843328000208,Filial_Proview,2026-02,Elo,Crédito,2,10940.0,-257.56,10682.44,2.35%
07843328000208,Filial_Proview,2026-02,Mastercard,Crédito,15,50832.0,-1317.46,49514.54,2.59%
07843328000208,Filial_Proview,2026-02,Mastercard,Débito,2,6420.0,-83.46,6336.54,1.30%
07843328000208,Filial_Proview,2026-02,Visa,Crédito,7,20490.0,-487.12,20002.88,2.38%
07843328000208,Filial_Proview,2026-02,Visa,Débito,2,4400.0,-55.0,4345.0,1.25%
07843328000208,Filial_Proview,2026-03,Elo,Débito,1,1400.0,-17.5,1382.5,1.25%
07843328000208,Filial_Proview,2026-03,Mastercard,Crédito,25,55055.0,-1410.16,53644.84,2.56%
07843328000208,Filial_Proview,2026-03,Mastercard,Débito,2,1015.0,-13.2,1001.8,1.30%
07843328000208,Filial_Proview,2026-03,Visa,Crédito,17,31315.0,-730.21,30584.79,2.33%
07843328000208,Filial_Proview,2026-04,Elo,Crédito,1,1900.0,-45.6,1854.4,2.40%
07843328000208,Filial_Proview,2026-04,Mastercard,Crédito,19,57820.0,-1509.39,56310.61,2.61%
07843328000208,Filial_Proview,2026-04,Mastercard,Débito,1,2575.0,-33.48,2541.52,1.30%
07843328000208,Filial_Proview,2026-04,Visa,Crédito,10,16860.0,-416.88,16443.12,2.47%
07843328000208,Filial_Proview,2026-04,Visa,Débito,1,610.0,-7.63,602.37,1.25%
07843328000208,Filial_Proview,2026-05,Elo,Crédito,1,1790.0,-42.96,1747.04,2.40%
07843328000208,Filial_Proview,2026-05,Mastercard,Crédito,21,33329.0,-848.04,32480.96,2.54%
07843328000208,Filial_Proview,2026-05,Mastercard,Débito,3,3995.0,-51.94,3943.06,1.30%
07843328000208,Filial_Proview,2026-05,Visa,Crédito,13,29345.0,-681.47,28663.53,2.32%
07843328000208,Filial_Proview,2026-05,Visa,Débito,2,5000.0,-62.5,4937.5,1.25%
07843328000208,Filial_Proview,2026-06,Visa,Crédito,1,7380.0,0.0,0.0,-0.00%
18960845000194,Oticas_BH,2025-01,Elo,Crédito,3,9165.0,-219.96,8945.04,2.40%
18960845000194,Oticas_BH,2025-01,Elo,Débito,2,3600.0,-45.0,3555.0,1.25%
18960845000194,Oticas_BH,2025-01,Mastercard,Crédito,32,50428.0,-1268.43,49159.57,2.52%
18960845000194,Oticas_BH,2025-01,Mastercard,Débito,4,4725.0,-61.43,4663.57,1.30%
18960845000194,Oticas_BH,2025-01,Visa,Crédito,25,46475.0,-1089.32,45385.68,2.34%
18960845000194,Oticas_BH,2025-01,Visa,Débito,9,11230.0,-140.38,11089.62,1.25%
18960845000194,Oticas_BH,2025-02,Elo,Crédito,6,11305.0,-250.45,11054.55,2.22%
18960845000194,Oticas_BH,2025-02,Elo,Débito,2,5800.0,-72.5,5727.5,1.25%
18960845000194,Oticas_BH,2025-02,Mastercard,Crédito,37,63654.0,-1623.42,62030.58,2.55%
18960845000194,Oticas_BH,2025-02,Mastercard,Débito,2,1048.0,-13.62,1034.38,1.30%
18960845000194,Oticas_BH,2025-02,Visa,Crédito,16,26230.0,-652.57,25577.43,2.49%
18960845000194,Oticas_BH,2025-02,Visa,Débito,8,10868.0,-135.85,10732.15,1.25%
18960845000194,Oticas_BH,2025-03,Elo,Crédito,3,1920.0,-37.74,1882.26,1.97%
18960845000194,Oticas_BH,2025-03,Elo,Débito,5,3820.0,-47.75,3772.25,1.25%
18960845000194,Oticas_BH,2025-03,Mastercard,Crédito,25,37839.0,-952.71,36886.29,2.52%
18960845000194,Oticas_BH,2025-03,Mastercard,Débito,4,1945.0,-25.29,1919.71,1.30%
18960845000194,Oticas_BH,2025-03,Visa,Crédito,34,66213.0,-1559.34,64653.66,2.36%
18960845000194,Oticas_BH,2025-03,Visa,Débito,7,6320.0,-79.01,6240.99,1.25%
18960845000194,Oticas_BH,2025-04,Elo,Crédito,4,11270.0,-231.58,11038.42,2.05%
18960845000194,Oticas_BH,2025-04,Elo,Débito,1,425.0,-5.31,419.69,1.25%
18960845000194,Oticas_BH,2025-04,Mastercard,Crédito,44,73603.0,-1851.13,71751.87,2.52%
18960845000194,Oticas_BH,2025-04,Mastercard,Débito,5,5300.0,-68.9,5231.1,1.30%
18960845000194,Oticas_BH,2025-04,Visa,Crédito,40,75308.0,-1765.94,73542.06,2.34%
18960845000194,Oticas_BH,2025-04,Visa,Débito,3,2188.0,-27.35,2160.65,1.25%
18960845000194,Oticas_BH,2025-05,Amex,Crédito,1,6440.0,-215.74,6224.26,3.35%
18960845000194,Oticas_BH,2025-05,Elo,Débito,1,100.0,-1.25,98.75,1.25%
18960845000194,Oticas_BH,2025-05,Mastercard,Crédito,38,53416.0,-1344.14,52071.86,2.52%
18960845000194,Oticas_BH,2025-05,Mastercard,Débito,4,1148.0,-14.92,1133.08,1.30%
18960845000194,Oticas_BH,2025-05,Visa,Crédito,39,68487.0,-1596.72,66890.28,2.33%
18960845000194,Oticas_BH,2025-05,Visa,Débito,5,4880.0,-61.01,4818.99,1.25%
18960845000194,Oticas_BH,2025-06,Elo,Crédito,2,1200.0,-28.5,1171.5,2.38%
18960845000194,Oticas_BH,2025-06,Elo,Débito,4,3900.0,-48.76,3851.24,1.25%
18960845000194,Oticas_BH,2025-06,Mastercard,Crédito,28,42865.0,-1102.32,41762.68,2.57%
18960845000194,Oticas_BH,2025-06,Mastercard,Débito,9,10458.0,-135.95,10322.05,1.30%
18960845000194,Oticas_BH,2025-06,Visa,Crédito,26,52169.0,-1229.18,50939.82,2.36%
18960845000194,Oticas_BH,2025-06,Visa,Débito,4,4360.0,-54.5,4305.5,1.25%
18960845000194,Oticas_BH,2025-07,Elo,Crédito,3,4850.0,-115.8,4734.2,2.39%
18960845000194,Oticas_BH,2025-07,Elo,Débito,4,2000.0,-25.0,1975.0,1.25%
18960845000194,Oticas_BH,2025-07,Mastercard,Crédito,43,64183.0,-1655.5,62527.5,2.58%
18960845000194,Oticas_BH,2025-07,Mastercard,Débito,8,13860.0,-180.18,13679.82,1.30%
18960845000194,Oticas_BH,2025-07,Visa,Crédito,32,56100.0,-1319.79,54780.21,2.35%
18960845000194,Oticas_BH,2025-07,Visa,Débito,13,17185.0,-214.82,16970.18,1.25%
18960845000194,Oticas_BH,2025-08,Elo,Crédito,4,10470.0,-232.65,10237.35,2.22%
18960845000194,Oticas_BH,2025-08,Mastercard,Crédito,39,75704.0,-1924.49,73779.51,2.54%
18960845000194,Oticas_BH,2025-08,Mastercard,Débito,6,5350.0,-69.55,5280.45,1.30%
18960845000194,Oticas_BH,2025-08,Visa,Crédito,30,58511.0,-1402.31,57108.69,2.40%
18960845000194,Oticas_BH,2025-08,Visa,Débito,6,5970.0,-74.65,5895.35,1.25%
18960845000194,Oticas_BH,2025-09,Elo,Crédito,4,10640.0,-251.63,10388.37,2.36%
18960845000194,Oticas_BH,2025-09,Mastercard,Crédito,43,74588.0,-1954.48,72633.52,2.62%
18960845000194,Oticas_BH,2025-09,Mastercard,Débito,5,1085.0,-14.11,1070.89,1.30%
18960845000194,Oticas_BH,2025-09,Visa,Crédito,37,70841.0,-1691.31,69149.69,2.39%
18960845000194,Oticas_BH,2025-09,Visa,Débito,7,6690.0,-83.63,6606.37,1.25%
18960845000194,Oticas_BH,2025-10,Amex,Crédito,2,6130.0,-205.36,5924.64,3.35%
18960845000194,Oticas_BH,2025-10,Elo,Crédito,2,1490.0,-33.53,1456.47,2.25%
18960845000194,Oticas_BH,2025-10,Elo,Débito,1,500.0,-6.25,493.75,1.25%
18960845000194,Oticas_BH,2025-10,Mastercard,Crédito,42,67517.0,-1784.04,65732.96,2.64%
18960845000194,Oticas_BH,2025-10,Mastercard,Débito,2,975.0,-12.68,962.32,1.30%
18960845000194,Oticas_BH,2025-10,Visa,Crédito,27,87143.0,-2053.53,85089.47,2.36%
18960845000194,Oticas_BH,2025-10,Visa,Débito,7,15107.0,-188.85,14918.15,1.25%
18960845000194,Oticas_BH,2025-11,Elo,Crédito,5,13935.0,-339.39,13595.61,2.44%
18960845000194,Oticas_BH,2025-11,Elo,Débito,1,1000.0,-12.5,987.5,1.25%
18960845000194,Oticas_BH,2025-11,Mastercard,Crédito,32,61575.0,-1519.22,60055.78,2.47%
18960845000194,Oticas_BH,2025-11,Mastercard,Débito,5,1470.0,-19.11,1450.89,1.30%
18960845000194,Oticas_BH,2025-11,Visa,Crédito,20,39074.0,-918.73,38155.27,2.35%
18960845000194,Oticas_BH,2025-11,Visa,Débito,8,6090.0,-76.13,6013.87,1.25%
18960845000194,Oticas_BH,2025-12,Amex,Crédito,1,3500.0,-117.25,3382.75,3.35%
18960845000194,Oticas_BH,2025-12,Elo,Crédito,1,1880.0,-45.12,1834.88,2.40%
18960845000194,Oticas_BH,2025-12,Elo,Débito,1,160.0,-2.0,158.0,1.25%
18960845000194,Oticas_BH,2025-12,Mastercard,Crédito,27,53390.0,-1350.61,52039.39,2.53%
18960845000194,Oticas_BH,2025-12,Mastercard,Débito,3,4335.0,-56.36,4278.64,1.30%
18960845000194,Oticas_BH,2025-12,Visa,Crédito,20,37806.0,-904.21,36901.79,2.39%
18960845000194,Oticas_BH,2025-12,Visa,Débito,3,1805.0,-22.57,1782.43,1.25%
18960845000194,Oticas_BH,2026-01,Elo,Crédito,2,3831.0,-89.99,3741.01,2.35%
18960845000194,Oticas_BH,2026-01,Elo,Débito,1,1440.0,-18.0,1422.0,1.25%
18960845000194,Oticas_BH,2026-01,Mastercard,Crédito,30,51062.0,-1299.34,49762.66,2.54%
18960845000194,Oticas_BH,2026-01,Mastercard,Débito,3,1400.0,-18.2,1381.8,1.30%
18960845000194,Oticas_BH,2026-01,Visa,Crédito,16,46070.0,-1075.73,44994.27,2.33%
18960845000194,Oticas_BH,2026-01,Visa,Débito,7,6955.0,-86.94,6868.06,1.25%
18960845000194,Oticas_BH,2026-02,Elo,Crédito,2,2390.0,-67.04,2322.96,2.81%
18960845000194,Oticas_BH,2026-02,Mastercard,Crédito,38,59733.0,-1504.76,58228.24,2.52%
18960845000194,Oticas_BH,2026-02,Mastercard,Débito,6,7052.0,-91.68,6960.32,1.30%
18960845000194,Oticas_BH,2026-02,Visa,Crédito,20,33591.0,-828.27,32762.73,2.47%
18960845000194,Oticas_BH,2026-02,Visa,Débito,5,2730.0,-34.13,2695.87,1.25%
18960845000194,Oticas_BH,2026-03,Elo,Crédito,2,2316.0,-53.91,2262.09,2.33%
18960845000194,Oticas_BH,2026-03,Elo,Débito,2,1384.0,-17.3,1366.7,1.25%
18960845000194,Oticas_BH,2026-03,Mastercard,Crédito,29,50345.0,-1299.88,49045.12,2.58%
18960845000194,Oticas_BH,2026-03,Mastercard,Débito,11,14936.0,-194.17,14741.83,1.30%
18960845000194,Oticas_BH,2026-03,Visa,Crédito,32,62516.0,-1521.09,60994.91,2.43%
18960845000194,Oticas_BH,2026-03,Visa,Débito,4,8500.0,-106.25,8393.75,1.25%
18960845000194,Oticas_BH,2026-04,Amex,Crédito,1,3490.0,-116.92,3373.08,3.35%
18960845000194,Oticas_BH,2026-04,Elo,Débito,2,2090.0,-26.13,2063.87,1.25%
18960845000194,Oticas_BH,2026-04,Mastercard,Crédito,34,53783.9,-1341.6,52442.3,2.49%
18960845000194,Oticas_BH,2026-04,Mastercard,Débito,3,2500.0,-32.5,2467.5,1.30%
18960845000194,Oticas_BH,2026-04,Visa,Crédito,22,40985.0,-947.48,40037.52,2.31%
18960845000194,Oticas_BH,2026-04,Visa,Débito,3,3920.0,-49.01,3870.99,1.25%
18960845000194,Oticas_BH,2026-05,Elo,Crédito,2,2820.0,-63.46,2756.54,2.25%
18960845000194,Oticas_BH,2026-05,Elo,Débito,1,976.5,-12.21,964.29,1.25%
18960845000194,Oticas_BH,2026-05,Mastercard,Crédito,34,57597.0,-1493.16,56103.84,2.59%
