data,cnpj,Estabelecimento,tPag,Forma_Pagamento,qtd_pagamentos,soma_vPag
2026-01-29,07843328000119,Matriz_Luminis,03,Cartao_Credito,7,7622.0
2026-01-29,07843328000119,Matriz_Luminis,04,Cartao_Debito,1,500.0
2026-01-29,07843328000119,Matriz_Luminis,20,20,1,100.0
2026-01-29,07843328000208,Filial_Proview,03,Cartao_Credito,4,8890.0
2026-01-29,07843328000208,Filial_Proview,17,PIX,1,150.0
2026-01-29,18960845000194,Oticas_BH,03,Cartao_Credito,2,10200.0
2026-01-30,07843328000119,Matriz_Luminis,03,Cartao_Credito,2,4070.0
2026-01-30,07843328000208,Filial_Proview,03,Cartao_Credito,15,44485.0
2026-01-30,07843328000208,Filial_Proview,04,Cartao_Debito,1,2900.0
2026-01-30,07843328000208,Filial_Proview,17,PIX,2,830.0
2026-01-30,18960845000194,Oticas_BH,03,Cartao_Credito,9,14971.0
2026-01-30,18960845000194,Oticas_BH,13,13,2,2300.0
2026-01-31,07843328000208,Filial_Proview,03,Cartao_Credito,1,590.0
2026-02-02,07843328000208,Filial_Proview,03,Cartao_Credito,1,3600.0
2026-02-05,07843328000119,Matriz_Luminis,03,Cartao_Credito,2,3480.0
2026-02-05,07843328000119,Matriz_Luminis,04,Cartao_Debito,1,600.0
2026-02-10,18960845000194,Oticas_BH,03,Cartao_Credito,10,22519.0
2026-02-10,18960845000194,Oticas_BH,04,Cartao_Debito,1,300.0
2026-02-11,07843328000119,Matriz_Luminis,03,Cartao_Credito,3,3400.0
2026-02-11,07843328000119,Matriz_Luminis,04,Cartao_Debito,1,100.0
2026-02-11,18960845000194,Oticas_BH,03,Cartao_Credito,7,14670.0
2026-02-11,18960845000194,Oticas_BH,13,13,2,7100.0
2026-02-13,07843328000208,Filial_Proview,03,Cartao_Credito,5,24162.0
2026-02-13,07843328000208,Filial_Proview,17,PIX,2,2300.0
2026-02-13,18960845000194,Oticas_BH,03,Cartao_Credito,7,10985.0
2026-02-13,18960845000194,Oticas_BH,04,Cartao_Debito,3,5352.0
2026-02-13,18960845000194,Oticas_BH,13,13,2,4050.0
2026-02-18,07843328000208,Filial_Proview,17,PIX,1,9200.0
2026-02-19,07843328000208,Filial_Proview,03,Cartao_Credito,3,13770.0
2026-02-19,18960845000194,Oticas_BH,03,Cartao_Credito,9,12240.0
2026-02-19,18960845000194,Oticas_BH,04,Cartao_Debito,2,2670.0
2026-02-19,18960845000194,Oticas_BH,13,13,2,2760.0
2026-02-20,18960845000194,Oticas_BH,03,Cartao_Credito,3,5930.0
2026-02-20,18960845000194,Oticas_BH,13,13,2,3610.0
2026-02-24,18960845000194,Oticas_BH,03,Cartao_Credito,4,5900.0
2026-02-24,18960845000194,Oticas_BH,04,Cartao_Debito,1,220.0
2026-02-24,18960845000194,Oticas_BH,13,13,2,1600.0
2026-02-25,07843328000208,Filial_Proview,03,Cartao_Credito,7,11080.0
2026-02-25,07843328000208,Filial_Proview,04,Cartao_Debito,1,2890.0
2026-02-25,07843328000208,Filial_Proview,17,PIX,1,350.0
2026-02-25,18960845000194,Oticas_BH,03,Cartao_Credito,4,12986.0
2026-02-26,07843328000119,Matriz_Luminis,03,Cartao_Credito,17,32405.0
2026-02-26,07843328000119,Matriz_Luminis,04,Cartao_Debito,1,180.0
2026-02-26,07843328000119,Matriz_Luminis,20,20,2,3200.0
2026-02-26,07843328000208,Filial_Proview,03,Cartao_Credito,6,30830.0
2026-02-26,18960845000194,Oticas_BH,03,Cartao_Credito,6,7640.0
2026-02-26,18960845000194,Oticas_BH,04,Cartao_Debito,1,220.0
2026-02-27,07843328000119,Matriz_Luminis,03,Cartao_Credito,4,5737.0
2026-02-27,18960845000194,Oticas_BH,03,Cartao_Credito,2,2690.0
2026-02-27,18960845000194,Oticas_BH,04,Cartao_Debito,1,1000.0
2026-02-28,07843328000208,Filial_Proview,03,Cartao_Credito,4,8583.0
2026-03-09,18960845000194,Oticas_BH,03,Cartao_Credito,11,14860.0
2026-03-09,18960845000194,Oticas_BH,04,Cartao_Debito,1,2900.0
2026-03-09,18960845000194,Oticas_BH,13,13,4,9070.0
2026-03-11,07843328000119,Matriz_Luminis,03,Cartao_Credito,3,7640.0
2026-03-11,07843328000119,Matriz_Luminis,20,20,1,2290.0
2026-03-12,18960845000194,Oticas_BH,03,Cartao_Credito,8,19730.0
2026-03-12,18960845000194,Oticas_BH,13,13,2,1700.0
2026-03-16,07843328000208,Filial_Proview,03,Cartao_Credito,10,28785.0
2026-03-16,07843328000208,Filial_Proview,17,PIX,1,2000.0
2026-03-16,18960845000194,Oticas_BH,03,Cartao_Credito,9,17990.0
2026-03-16,18960845000194,Oticas_BH,04,Cartao_Debito,1,990.0
2026-03-16,18960845000194,Oticas_BH,13,13,2,1150.0
2026-03-17,18960845000194,Oticas_BH,03,Cartao_Credito,6,5716.0
2026-03-17,18960845000194,Oticas_BH,04,Cartao_Debito,2,2160.0
2026-03-17,18960845000194,Oticas_BH,13,13,1,300.0
2026-03-18,07843328000119,Matriz_Luminis,03,Cartao_Credito,9,21260.0
2026-03-18,18960845000194,Oticas_BH,03,Cartao_Credito,1,1400.0
2026-03-18,18960845000194,Oticas_BH,13,13,1,180.0
2026-03-20,18960845000194,Oticas_BH,03,Cartao_Credito,11,35775.0
2026-03-20,18960845000194,Oticas_BH,04,Cartao_Debito,1,2000.0
2026-03-20,18960845000194,Oticas_BH,13,13,3,3900.0
2026-03-23,07843328000208,Filial_Proview,03,Cartao_Credito,1,2530.0
2026-03-23,18960845000194,Oticas_BH,03,Cartao_Credito,4,6940.0
2026-03-23,18960845000194,Oticas_BH,04,Cartao_Debito,1,1600.0
2026-03-23,18960845000194,Oticas_BH,13,13,2,2700.0
2026-03-24,18960845000194,Oticas_BH,03,Cartao_Credito,1,2190.0
2026-03-25,07843328000119,Matriz_Luminis,03,Cartao_Credito,13,12175.0
2026-03-25,07843328000119,Matriz_Luminis,20,20,2,3000.0
2026-03-25,18960845000194,Oticas_BH,03,Cartao_Credito,1,1080.0
2026-03-25,18960845000194,Oticas_BH,04,Cartao_Debito,2,2620.0
2026-03-26,07843328000119,Matriz_Luminis,03,Cartao_Credito,5,7060.0
2026-03-26,07843328000119,Matriz_Luminis,04,Cartao_Debito,3,4910.0
2026-03-26,07843328000119,Matriz_Luminis,20,20,1,50.0
2026-03-26,07843328000208,Filial_Proview,17,PIX,1,1088.0
2026-03-26,18960845000194,Oticas_BH,03,Cartao_Credito,5,3300.0
2026-03-26,18960845000194,Oticas_BH,13,13,2,6558.0
2026-03-27,07843328000208,Filial_Proview,03,Cartao_Credito,1,2700.0
2026-03-28,07843328000208,Filial_Proview,03,Cartao_Credito,11,29105.0
2026-03-30,07843328000208,Filial_Proview,03,Cartao_Credito,10,15600.0
2026-03-31,07843328000119,Matriz_Luminis,03,Cartao_Credito,4,7840.0
2026-03-31,07843328000119,Matriz_Luminis,20,20,1,1000.0
2026-03-31,07843328000208,Filial_Proview,03,Cartao_Credito,5,9249.0
2026-03-31,07843328000208,Filial_Proview,17,PIX,1,930.0
2026-03-31,18960845000194,Oticas_BH,03,Cartao_Credito,8,11276.0
2026-03-31,18960845000194,Oticas_BH,04,Cartao_Debito,6,10955.0
2026-03-31,18960845000194,Oticas_BH,13,13,8,6875.0
2026-04-02,07843328000208,Filial_Proview,03,Cartao_Credito,1,1500.0
2026-04-02,07843328000208,Filial_Proview,17,PIX,1,1470.0
2026-04-02,18960845000194,Oticas_BH,13,13,1,3200.0
2026-04-07,18960845000194,Oticas_BH,03,Cartao_Credito,7,13530.0
2026-04-07,18960845000194,Oticas_BH,13,13,3,7360.0
2026-04-09,07843328000119,Matriz_Luminis,03,Cartao_Credito,1,2350.0
2026-04-09,07843328000208,Filial_Proview,03,Cartao_Credito,4,10550.0
2026-04-09,18960845000194,Oticas_BH,01,Dinheiro,1,500.0
2026-04-09,18960845000194,Oticas_BH,03,Cartao_Credito,3,5230.0
2026-04-09,18960845000194,Oticas_BH,13,13,1,5350.0
2026-04-10,07843328000119,Matriz_Luminis,03,Cartao_Credito,3,2200.0
2026-04-10,07843328000119,Matriz_Luminis,04,Cartao_Debito,1,700.0
2026-04-10,07843328000119,Matriz_Luminis,20,20,1,1039.0
2026-04-10,18960845000194,Oticas_BH,03,Cartao_Credito,3,6370.0
2026-04-10,18960845000194,Oticas_BH,13,13,1,1450.0
2026-04-13,18960845000194,Oticas_BH,03,Cartao_Credito,3,4155.0
2026-04-13,18960845000194,Oticas_BH,04,Cartao_Debito,1,300.0
2026-04-13,18960845000194,Oticas_BH,13,13,1,5900.0
2026-04-17,07843328000208,Filial_Proview,03,Cartao_Credito,1,3450.0
2026-04-17,18960845000194,Oticas_BH,03,Cartao_Credito,1,700.0
2026-04-20,07843328000208,Filial_Proview,03,Cartao_Credito,4,40380.0
2026-04-20,18960845000194,Oticas_BH,03,Cartao_Credito,9,15883.0
2026-04-20,18960845000194,Oticas_BH,13,13,2,1650.0
2026-04-22,07843328000208,Filial_Proview,17,PIX,2,3800.0
2026-04-22,18960845000194,Oticas_BH,03,Cartao_Credito,4,2360.0
2026-04-22,18960845000194,Oticas_BH,13,13,3,4520.0
2026-04-23,18960845000194,Oticas_BH,03,Cartao_Credito,6,15992.0
2026-04-23,18960845000194,Oticas_BH,04,Cartao_Debito,1,350.0
2026-04-23,18960845000194,Oticas_BH,13,13,1,450.0
2026-04-24,07843328000208,Filial_Proview,03,Cartao_Credito,2,17380.0
2026-04-24,18960845000194,Oticas_BH,03,Cartao_Credito,3,4316.0
2026-04-27,07843328000208,Filial_Proview,03,Cartao_Credito,2,7800.0
2026-04-27,18960845000194,Oticas_BH,03,Cartao_Credito,5,12370.0
2026-04-27,18960845000194,Oticas_BH,04,Cartao_Debito,3,3740.0
2026-04-27,18960845000194,Oticas_BH,13,13,2,1350.0
2026-04-28,07843328000208,Filial_Proview,03,Cartao_Credito,15,20140.0
2026-04-28,07843328000208,Filial_Proview,04,Cartao_Debito,2,1200.0
2026-04-28,18960845000194,Oticas_BH,03,Cartao_Credito,2,2210.0
2026-04-28,18960845000194,Oticas_BH,13,13,2,1710.0
2026-04-29,07843328000119,Matriz_Luminis,03,Cartao_Credito,7,10200.0
2026-04-29,07843328000119,Matriz_Luminis,04,Cartao_Debito,3,450.0
2026-04-29,07843328000119,Matriz_Luminis,20,20,3,3680.0
2026-04-29,07843328000208,Filial_Proview,03,Cartao_Credito,12,21660.0
2026-04-29,18960845000194,Oticas_BH,03,Cartao_Credito,4,6350.0
2026-04-29,18960845000194,Oticas_BH,04,Cartao_Debito,1,690.0
2026-04-29,18960845000194,Oticas_BH,13,13,1,3000.0
2026-04-30,07843328000119,Matriz_Luminis,03,Cartao_Credito,1,1750.0
2026-04-30,07843328000119,Matriz_Luminis,20,20,2,933.34
2026-04-30,07843328000208,Filial_Proview,03,Cartao_Credito,4,16760.0
2026-04-30,18960845000194,Oticas_BH,03,Cartao_Credito,5,12660.0
2026-04-30,18960845000194,Oticas_BH,04,Cartao_Debito,1,2100.0
2026-04-30,18960845000194,Oticas_BH,13,13,1,2690.0
2026-05-05,18960845000194,Oticas_BH,03,Cartao_Credito,1,740.0
2026-05-13,18960845000194,Oticas_BH,03,Cartao_Credito,8,18960.0
2026-05-13,18960845000194,Oticas_BH,13,13,2,11000.0
2026-05-15,07843328000119,Matriz_Luminis,03,Cartao_Credito,1,1990.0
2026-05-15,18960845000194,Oticas_BH,03,Cartao_Credito,6,10130.0
2026-05-15,18960845000194,Oticas_BH,13,13,3,3850.0
2026-05-18,07843328000119,Matriz_Luminis,03,Cartao_Credito,1,6790.0
2026-05-18,07843328000208,Filial_Proview,03,Cartao_Credito,5,15064.0
2026-05-18,18960845000194,Oticas_BH,03,Cartao_Credito,9,14110.0
2026-05-18,18960845000194,Oticas_BH,13,13,2,900.0
2026-05-19,07843328000208,Filial_Proview,03,Cartao_Credito,11,11710.0
2026-05-19,07843328000208,Filial_Proview,04,Cartao_Debito,5,8590.0
2026-05-19,18960845000194,Oticas_BH,03,Cartao_Credito,4,13630.0
2026-05-19,18960845000194,Oticas_BH,13,13,2,3530.0
2026-05-20,07843328000208,Filial_Proview,03,Cartao_Credito,2,4100.0
2026-05-20,18960845000194,Oticas_BH,03,Cartao_Credito,4,6927.0
2026-05-21,07843328000119,Matriz_Luminis,03,Cartao_Credito,7,17270.0
2026-05-21,18960845000194,Oticas_BH,03,Cartao_Credito,9,14082.0
2026-05-21,18960845000194,Oticas_BH,13,13,2,1400.0
2026-05-22,18960845000194,Oticas_BH,03,Cartao_Credito,1,800.0
2026-05-22,18960845000194,Oticas_BH,13,13,1,3840.0
2026-05-25,18960845000194,Oticas_BH,03,Cartao_Credito,6,12560.0
2026-05-25,18960845000194,Oticas_BH,13,13,1,800.0
2026-05-26,07843328000208,Filial_Proview,03,Cartao_Credito,6,14710.0
2026-05-26,18960845000194,Oticas_BH,03,Cartao_Credito,4,8295.0
2026-05-26,18960845000194,Oticas_BH,13,13,2,1290.0
2026-05-27,18960845000194,Oticas_BH,03,Cartao_Credito,2,2800.0
2026-05-27,18960845000194,Oticas_BH,04,Cartao_Debito,3,2880.0
2026-05-27,18960845000194,Oticas_BH,13,13,2,3480.0
2026-05-28,07843328000119,Matriz_Luminis,03,Cartao_Credito,16,23970.0
2026-05-28,07843328000119,Matriz_Luminis,04,Cartao_Debito,2,2648.0
2026-05-28,07843328000119,Matriz_Luminis,20,20,8,2696.67
2026-05-28,07843328000208,Filial_Proview,03,Cartao_Credito,1,1700.0
2026-05-28,18960845000194,Oticas_BH,03,Cartao_Credito,10,21291.0
2026-05-28,18960845000194,Oticas_BH,04,Cartao_Debito,1,500.0
2026-05-28,18960845000194,Oticas_BH,13,13,1,1900.0
2026-05-29,07843328000119,Matriz_Luminis,03,Cartao_Credito,1,1500.0
2026-05-29,07843328000119,Matriz_Luminis,04,Cartao_Debito,2,1950.0
2026-05-29,07843328000208,Filial_Proview,03,Cartao_Credito,5,13000.0
2026-05-29,07843328000208,Filial_Proview,04,Cartao_Debito,3,5340.0
2026-05-29,07843328000208,Filial_Proview,13,13,3,6110.0
2026-05-29,18960845000194,Oticas_BH,03,Cartao_Credito,2,4220.0
