data,mes,banco,conta,estabelecimento,cnpj,tipo,bandeira_codigo,modalidade_codigo,valor,arquivo
03/02/2026,2026-02,Santander,Santander Matriz,Matriz_Luminis,07843328000119,Pagamento_Cartao_Credito,ELO,CC,87.48,fevereiro mstriz.pdf
02/02/2026,2026-02,Santander,Santander Matriz,Matriz_Luminis,07843328000119,Pagamento_Cartao_Credito,ELO,CC,96.94,fevereiro mstriz.pdf
02/02/2026,2026-02,Santander,Santander Matriz,Matriz_Luminis,07843328000119,Antecipacao_Getnet,ANT,,3036.58,santander matriz jan.pdf
02/02/2026,2026-02,Santander,Santander Matriz,Matriz_Luminis,07843328000119,Antecipacao_Getnet,ANT,,10414.89,santander matriz jan.pdf
02/01/2026,2026-01,Santander,Santander Matriz,Matriz_Luminis,07843328000119,Antecipacao_Getnet,ANT,,11565.79,santander matriz jan.pdf
20/01/2026,2026-01,Santander,Santander Matriz,Matriz_Luminis,07843328000119,Pagamento_Cartao_Debito,ELO DEBITO,DC,687.4,santander matriz jan.pdf
20/01/2026,2026-01,Santander,Santander Matriz,Matriz_Luminis,07843328000119,Pagamento_Cartao_Debito,VISA ELECTR,DC,493.35,santander matriz jan.pdf
02/02/2026,2026-02,Santander,Santander Matriz,Matriz_Luminis,07843328000119,Pagamento_Cartao_Credito,ELO,CC,96.94,santander matriz jan.pdf
19/01/2026,2026-01,Santander,Santander Matriz,Matriz_Luminis,07843328000119,Pagamento_Cartao_Credito,ELO,CC,213.84,santander matriz jan.pdf
05/01/2026,2026-01,Santander,Santander Matriz,Matriz_Luminis,07843328000119,Pagamento_Cartao_Credito,ELO,CC,184.42,santander matriz jan.pdf
05/01/2026,2026-01,Santander,Santander Matriz,Matriz_Luminis,07843328000119,Pagamento_Cartao_Credito,VISA,CC,565.08,santander matriz jan.pdf
02/01/2026,2026-01,Santander,Santander Matriz,Matriz_Luminis,07843328000119,Pagamento_Cartao_Credito,ELO,CC,96.94,santander matriz jan.pdf
02/01/2026,2026-01,Santander,Santander Matriz,Matriz_Luminis,07843328000119,Pagamento_Cartao_Credito,VISA,CC,2543.81,santander matriz jan.pdf
06/04/2026,2026-04,Santander,Santander Filial,Filial_Proview,07843328000208,Antecipacao_Getnet,ANT,,42475.26,extrato abril santanderfilial.pdf
06/04/2026,2026-04,Santander,BH,Oticas_BH,18960845000194,Antecipacao_Getnet,ANT,,2049.94,EXTRATO ABRIL.pdf
06/04/2026,2026-04,Santander,BH,Oticas_BH,18960845000194,Antecipacao_Getnet,ANT,,79329.66,EXTRATO ABRIL.pdf
29/05/2026,2026-05,Santander,BH,Oticas_BH,18960845000194,Antecipacao_Getnet,ANT,,24355.96,EXTRATO MAIO.pdf
29/05/2026,2026-05,Santander,BH,Oticas_BH,18960845000194,Antecipacao_Getnet,ANT,,25587.14,EXTRATO MAIO.pdf
07/05/2026,2026-05,Santander,BH,Oticas_BH,18960845000194,Antecipacao_Getnet,ANT,,60056.35,EXTRATO MAIO.pdf
07/05/2026,2026-05,Santander,BH,Oticas_BH,18960845000194,Antecipacao_Getnet,ANT,,40343.5,EXTRATO MAIO.pdf
02/02/2026,2026-02,Santander,BH,Oticas_BH,18960845000194,Antecipacao_Getnet,ANT,,3498.4,extrato BH jan-fev.pdf
02/02/2026,2026-02,Santander,BH,Oticas_BH,18960845000194,Antecipacao_Getnet,ANT,,35488.45,extrato BH jan-fev.pdf
02/02/2026,2026-02,Santander,BH,Oticas_BH,18960845000194,Antecipacao_Getnet,ANT,,4833.16,extrato BH jan-fev.pdf
02/01/2026,2026-01,Santander,BH,Oticas_BH,18960845000194,Antecipacao_Getnet,ANT,,9042.72,extrato BH jan-fev.pdf
02/01/2026,2026-01,Santander,BH,Oticas_BH,18960845000194,Antecipacao_Getnet,ANT,,22514.99,extrato BH jan-fev.pdf
02/01/2026,2026-01,Santander,BH,Oticas_BH,18960845000194,Antecipacao_Getnet,ANT,,21764.59,extrato BH jan-fev.pdf
29/01/2026,2026-01,Santander,BH,Oticas_BH,18960845000194,Pagamento_Cartao_Debito,DEB,DC,632.0,extrato BH jan-fev.pdf
29/01/2026,2026-01,Santander,BH,Oticas_BH,18960845000194,Pagamento_Cartao_Debito,DEB,DC,98.7,extrato BH jan-fev.pdf
27/01/2026,2026-01,Santander,BH,Oticas_BH,18960845000194,Pagamento_Cartao_Debito,DEB,DC,987.5,extrato BH jan-fev.pdf
26/01/2026,2026-01,Santander,BH,Oticas_BH,18960845000194,Pagamento_Cartao_Debito,DEB,DC,3160.0,extrato BH jan-fev.pdf
23/01/2026,2026-01,Santander,BH,Oticas_BH,18960845000194,Pagamento_Cartao_Debito,DEB,DC,1481.25,extrato BH jan-fev.pdf
15/01/2026,2026-01,Santander,BH,Oticas_BH,18960845000194,Pagamento_Cartao_Debito,DEB,DC,1422.0,extrato BH jan-fev.pdf
14/01/2026,2026-01,Santander,BH,Oticas_BH,18960845000194,Pagamento_Cartao_Debito,DEB,DC,493.75,extrato BH jan-fev.pdf
13/01/2026,2026-01,Santander,BH,Oticas_BH,18960845000194,Pagamento_Cartao_Debito,DEB,DC,296.1,extrato BH jan-fev.pdf
12/01/2026,2026-01,Santander,BH,Oticas_BH,18960845000194,Pagamento_Cartao_Debito,DEB,DC,113.56,extrato BH jan-fev.pdf
09/01/2026,2026-01,Santander,BH,Oticas_BH,18960845000194,Pagamento_Cartao_Debito,DEB,DC,986.0,extrato BH jan-fev.pdf
03/03/2026,2026-03,Santander,BH,Oticas_BH,18960845000194,Antecipacao_Getnet,ANT,,2139.31,extrato oticas BH março.pdf
03/03/2026,2026-03,Santander,BH,Oticas_BH,18960845000194,Antecipacao_Getnet,ANT,,42385.33,extrato oticas BH março.pdf
03/03/2026,2026-03,Santander,BH,Oticas_BH,18960845000194,Antecipacao_Getnet,ANT,,60474.84,extrato oticas BH março.pdf
04/03/2026,2026-03,Santander,BH,Oticas_BH,18960845000194,Pagamento_Cartao_Debito,DEB,DC,977.13,extrato oticas BH março.pdf
